log_setup.py | [INFO] | 2022-09-07 10:44:03,828 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 10:44:04,097 | models | : Fine - Elapsed Time: 0.26768480000000006 in models:70
log_setup.py | [INFO] | 2022-09-07 10:44:30,398 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 10:44:30,637 | models | : Fine - Elapsed Time: 0.23795129999999998 in models:70
log_setup.py | [INFO] | 2022-09-07 10:45:58,570 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 10:45:58,824 | models | : Fine - Elapsed Time: 0.26124769999999997 in models:70
log_setup.py | [INFO] | 2022-09-07 10:46:37,939 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 10:46:38,167 | models | : Fine - Elapsed Time: 0.22656980000000004 in models:70
log_setup.py | [INFO] | 2022-09-07 10:47:06,325 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 10:47:06,603 | models | : Fine - Elapsed Time: 0.27269980000000016 in models:70
log_setup.py | [INFO] | 2022-09-07 10:47:33,546 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 10:47:33,808 | models | : Fine - Elapsed Time: 0.25903699999999996 in models:70
log_setup.py | [INFO] | 2022-09-07 13:08:03,622 | __main__ | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 13:08:04,539 | __main__ | : Fine - Elapsed Time: 0.9130716999999999 in models:72
log_setup.py | [INFO] | 2022-09-07 13:12:38,920 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 13:12:39,206 | models | : Fine - Elapsed Time: 0.2860455000000002 in models:72
log_setup.py | [INFO] | 2022-09-07 13:14:15,684 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 13:14:16,039 | models | : Fine - Elapsed Time: 0.35485809999999995 in models:72
log_setup.py | [INFO] | 2022-09-07 13:15:44,413 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 13:15:44,772 | models | : Fine - Elapsed Time: 0.36027129999999996 in models:72
log_setup.py | [INFO] | 2022-09-07 13:17:50,833 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 13:17:51,204 | models | : Fine - Elapsed Time: 0.36854949999999986 in models:72
log_setup.py | [INFO] | 2022-09-07 13:18:59,004 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 13:18:59,334 | models | : Fine - Elapsed Time: 0.3353638000000001 in models:72
log_setup.py | [INFO] | 2022-09-07 13:19:23,298 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 13:19:23,575 | models | : Fine - Elapsed Time: 0.27982609999999997 in models:72
log_setup.py | [INFO] | 2022-09-07 13:19:56,238 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 13:19:56,535 | models | : Fine - Elapsed Time: 0.30012780000000006 in models:72
log_setup.py | [INFO] | 2022-09-07 13:21:21,378 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 13:21:21,648 | models | : Fine - Elapsed Time: 0.26688639999999997 in models:72
log_setup.py | [INFO] | 2022-09-07 13:21:48,158 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 13:21:48,410 | models | : Fine - Elapsed Time: 0.26065170000000004 in models:72
log_setup.py | [INFO] | 2022-09-07 13:22:43,828 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 13:22:44,239 | models | : Fine - Elapsed Time: 0.4108594000000001 in models:72
log_setup.py | [INFO] | 2022-09-07 13:23:46,514 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 13:23:46,963 | models | : Fine - Elapsed Time: 0.4473659000000001 in models:72
log_setup.py | [INFO] | 2022-09-07 19:20:24,277 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 19:20:25,882 | models | : Fine - Elapsed Time: 1.6061875 in models:72
log_setup.py | [INFO] | 2022-09-07 22:12:37,467 | models | : Log Setup Completed, called from models in log_setup:54
log_setup.py | [INFO] | 2022-09-07 22:15:57,967 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 22:16:02,670 | models | : Fine - Elapsed Time: 4.703434000000001 in models:72
log_setup.py | [INFO] | 2022-09-07 22:16:57,692 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 22:17:01,467 | models | : Fine - Elapsed Time: 3.7767893999999997 in models:72
