COD_LOC;ZONA;COD_DEPOSITO;SPEDIZIONI_2021
      ;999;04;1
001058;079;56;230
001066;030;56;14
001070;011;56;255
001078;075;56;62
001078;075;58;1
001082;047;56;82
001082;069;56;669
001086;021;56;2
001098;026;56;79
001125;038;56;889
001126;902;56;135
001126;902;58;1
001127;079;56;126
001136;079;56;28
001166;021;56;14
001174;079;56;49
001178;079;56;60
001184;011;56;1
001190;019;56;1
001195;019;56;137
001197;075;58;1
001214;019;56;27
001272;001;56;2771
001272;003;56;3247
001272;004;56;3094
001272;005;56;3246
001272;006;56;2785
001272;007;56;2664
001272;008;56;3064
001272;009;56;2758
001272;065;56;1
001299;019;56;261
002156;056;56;18
002158;066;10;1
003030;450;42;71
003106;055;56;21
003106;450;42;1725
003135;450;42;23
004003;077;56;6
004010;075;56;16
004011;076;56;12
004013;077;56;7
004016;901;01;192
004019;077;58;3
004022;090;01;143
004034;093;56;3
004037;075;56;93
004045;079;56;46
004046;075;56;36
004051;075;56;11
004055;077;56;12
004064;090;01;100
004072;075;56;38
004078;090;01;1062
004080;077;56;53
004087;079;56;23
004089;077;58;1
004089;078;56;64
004100;077;56;42
004101;075;56;62
004105;077;56;43
004113;075;56;45
004116;092;56;3
004130;090;01;7
004135;075;56;20
004137;077;56;14
004138;092;56;3
004140;075;56;33
004143;079;56;106
004146;079;56;43
004148;076;56;69
004149;076;56;8
004168;075;56;27
004170;074;58;2
004171;079;56;45
004176;075;56;34
004178;085;63;27
004194;077;56;36
004196;077;56;12
004203;087;56;19
004214;075;56;32
004215;094;56;880
004218;077;56;11
004223;075;56;48
004230;076;56;19
004231;076;56;5
004238;077;56;18
004240;092;56;34
004241;075;56;66
005005;070;34;17
005005;071;34;15
005005;075;56;78
005005;076;56;23
005025;067;56;12
005115;071;34;35
005121;069;56;52
006003;095;34;53
006003;097;34;393
006017;085;63;59
006021;097;34;23
006039;071;34;16
006052;095;34;9
006110;095;34;16
006141;070;58;2
006149;071;34;12
006174;097;34;25
007020;908;59;163
007028;066;10;1
007041;035;59;31
008008;340;58;2
008011;340;58;3
008017;345;58;2
008031;998;38;3
008031;998;58;19
008031;998;5D;349
008031;998;5F;23
008031;998;5P;114
008031;998;63;425
008031;998;89;1
008031;998;8V;1
008039;340;58;4
008055;340;58;25
008059;340;58;12
008063;340;58;3
008065;340;58;14
008065;345;03;1
008065;421;35;1
009001;345;58;1
009006;345;5P;1
009010;345;5D;1
009052;345;03;183
010005;366;13;11
010006;381;13;173
010009;362;13;69
010009;381;13;57
010014;362;04;1
010014;362;13;162
010025;357;13;1434
010025;358;13;2209
010025;358;58;1
010025;359;13;2472
010025;359;58;2
010025;360;13;3601
010025;361;13;2662
010025;361;58;1
010025;362;13;3
010025;363;13;1106
010025;368;13;1241
010025;380;13;1249
010025;909;13;239
010035;362;13;39
010035;381;13;3
010045;367;13;2
010054;384;13;206
010058;362;13;63
010058;381;13;7
011029;369;13;143
012023;124;14;1
012079;120;10;212
012096;125;14;1
012127;120;10;448
012137;186;21;2
012137;291;21;3
012143;127;10;1
013019;137;32;85
013036;124;14;32
