log_setup.py | [INFO] | 2021-11-22 23:23:26,042 | __main__ | : Log Setup Completed, called from graph in log_setup:54
graph.py | [INFO] | 2021-11-22 23:23:26,042 | __main__ | : Inizio in graph:24
graph.py | [INFO] | 2021-11-22 23:23:29,683 | __main__ | : Fine in graph:62
log_setup.py | [INFO] | 2022-04-26 15:46:06,638 | __main__ | : Log Setup Completed, called from graph in log_setup:54
graph.py | [INFO] | 2022-04-26 15:46:06,638 | __main__ | : Inizio in graph:24
graph.py | [INFO] | 2022-04-26 15:46:33,314 | __main__ | : Fine in graph:62
log_setup.py | [INFO] | 2022-04-26 15:46:57,098 | __main__ | : Log Setup Completed, called from graph in log_setup:54
graph.py | [INFO] | 2022-04-26 15:46:57,098 | __main__ | : Inizio in graph:24
graph.py | [INFO] | 2022-04-26 15:47:00,954 | __main__ | : Fine in graph:62
log_setup.py | [INFO] | 2022-04-26 15:47:42,122 | __main__ | : Log Setup Completed, called from graph in log_setup:54
graph.py | [INFO] | 2022-04-26 15:47:42,122 | __main__ | : Inizio in graph:24
graph.py | [INFO] | 2022-04-26 15:47:58,416 | __main__ | : Fine in graph:64
log_setup.py | [INFO] | 2022-04-26 15:48:50,642 | __main__ | : Log Setup Completed, called from graph in log_setup:54
graph.py | [INFO] | 2022-04-26 15:48:50,642 | __main__ | : Inizio in graph:24
graph.py | [INFO] | 2022-04-26 15:49:18,887 | __main__ | : Fine in graph:64
log_setup.py | [INFO] | 2022-04-26 15:49:48,358 | __main__ | : Log Setup Completed, called from graph in log_setup:54
graph.py | [INFO] | 2022-04-26 15:49:48,358 | __main__ | : Inizio in graph:24
graph.py | [INFO] | 2022-04-26 15:49:58,989 | __main__ | : Fine in graph:64
log_setup.py | [INFO] | 2022-04-26 15:57:13,764 | __main__ | : Log Setup Completed, called from graph in log_setup:54
graph.py | [INFO] | 2022-04-26 15:57:13,764 | __main__ | : Inizio in graph:24
graph.py | [INFO] | 2022-04-26 15:57:43,761 | __main__ | : Fine in graph:64
log_setup.py | [INFO] | 2022-04-26 15:57:46,780 | __main__ | : Log Setup Completed, called from graph in log_setup:54
graph.py | [INFO] | 2022-04-26 15:57:46,780 | __main__ | : Inizio in graph:24
graph.py | [INFO] | 2022-04-26 15:58:00,455 | __main__ | : Fine in graph:64
log_setup.py | [INFO] | 2022-04-26 15:58:14,714 | __main__ | : Log Setup Completed, called from graph in log_setup:54
graph.py | [INFO] | 2022-04-26 15:58:14,714 | __main__ | : Inizio in graph:24
graph.py | [INFO] | 2022-04-26 15:58:21,869 | __main__ | : Fine in graph:64
log_setup.py | [INFO] | 2022-04-26 15:58:37,377 | __main__ | : Log Setup Completed, called from graph in log_setup:54
graph.py | [INFO] | 2022-04-26 15:58:37,377 | __main__ | : Inizio in graph:24
graph.py | [INFO] | 2022-04-26 15:58:47,768 | __main__ | : Fine in graph:64
log_setup.py | [INFO] | 2022-04-26 15:59:02,101 | __main__ | : Log Setup Completed, called from graph in log_setup:54
graph.py | [INFO] | 2022-04-26 15:59:02,101 | __main__ | : Inizio in graph:24
graph.py | [INFO] | 2022-04-26 15:59:07,476 | __main__ | : Fine in graph:64
log_setup.py | [INFO] | 2022-04-26 15:59:17,644 | __main__ | : Log Setup Completed, called from graph in log_setup:54
graph.py | [INFO] | 2022-04-26 15:59:17,644 | __main__ | : Inizio in graph:24
graph.py | [INFO] | 2022-04-26 15:59:24,378 | __main__ | : Fine in graph:64
