;data;stato;ricoverati_con_sintomi;terapia_intensiva;totale_ospedalizzati;isolamento_domiciliare;totale_positivi;variazione_totale_positivi;nuovi_positivi;dimessi_guariti;deceduti;casi_da_sospetto_diagnostico;casi_da_screening;totale_casi;tamponi;casi_testati;note;ingressi_terapia_intensiva;note_test;note_casi;totale_positivi_test_molecolare;totale_positivi_test_antigenico_rapido;tamponi_test_molecolare;tamponi_test_antigenico_rapido;nuovi_deceduti;tamponi_effettuati;perc_positivi
677;2022-01-01T17:00:00;ITA;11265;1297;12562;1009231;1021793;120809;141358;5107729;137513;;;6267035;141268542;41329516.0;;135.0;;;5666599.0;600436.0;73690819.0;67577723.0;;;
678;2022-01-02T17:00:00;ITA;11756;1319;13075;1057462;1070537;48744;61046;5119893;137646;;;6328076;141547196;41421590.0;;104.0;;;5714553.0;613523.0;73856391.0;67690805.0;133.0;278654.0;21.907455123558247
679;2022-01-03T17:00:00;ITA;12333;1351;13684;1111368;1125052;54515;68052;5133272;137786;;;6396110;141992517;41510822.0;;103.0;;;5759069.0;637041.0;74013084.0;67979433.0;140.0;445321.0;15.28156094143326
680;2022-01-04T17:00:00;ITA;12912;1392;14304;1250993;1265297;140245;170844;5163605;138045;;;6566947;143220927;41719220.0;;153.0;;;5826648.0;740299.0;74299160.0;68921767.0;259.0;1228410.0;13.90773438835568
681;2022-01-05T17:00:00;ITA;13364;1428;14792;1406325;1421117;155820;189109;5196642;138276;;;6756035;144315182;41928155.0;;132.0;;;5918596.0;837439.0;74662839.0;69652343.0;231.0;1094255.0;17.281986374291183
682;2022-01-06T17:00:00;ITA;13827;1467;15294;1578285;1593579;172462;219441;5243412;138474;;;6975465;145453492;42171448.0;;177.0;;;6014907.0;960558.0;75023110.0;70430382.0;198.0;1138310.0;19.277789002995668
683;2022-01-07T17:00:00;ITA;14591;1499;16090;1657981;1674071;80492;108304;5270994;138697;;;7083762;145945664;42287504.0;;120.0;;;6080761.0;1003001.0;75250881.0;70694783.0;223.0;492172.0;22.005315215006135
684;2022-01-08T17:00:00;ITA;14930;1557;16487;1802406;1818893;144822;197552;5323523;138881;;;7281297;147165930;42520576.0;;154.0;;;6164375.0;1116922.0;75568209.0;71597721.0;184.0;1220266.0;16.18925709640357
685;2022-01-09T17:00:00;ITA;15647;1595;17242;1926737;1943979;125086;155659;5353922;139038;;;7436939;148159131;42725013.0;;142.0;;;6229650.0;1207289.0;75856287.0;72302844.0;157.0;993201.0;15.672457035383571
686;2022-01-10T17:00:00;ITA;16340;1606;17946;1986651;2004597;60618;101762;5410482;139265;;;7554344;148771952;42856913.0;;114.0;;;6286591.0;1267753.0;76085265.0;72686687.0;227.0;612821.0;16.605501443325213
687;2022-01-11T17:00:00;ITA;17067;1677;18744;2115395;2134139;129542;220532;5500938;139559;;;7774863;150147466;43105796.0;;185.0;;;6361711.0;1413152.0;76403257.0;73744209.0;294.0;1375514.0;16.03269759522622
688;2022-01-12T17:00:00;ITA;17309;1669;18978;2203082;2222060;87921;196224;5609136;139872;;;7971068;151338033;43353643.0;;156.0;;;6434616.0;1536452.0;76764844.0;74573189.0;313.0;1190567.0;16.481558786695754
689;2022-01-13T17:00:00;ITA;17648;1668;19316;2304202;2323518;101458;184615;5691939;140188;;;8155645;152519212;43584304.0;;156.0;;;6506687.0;1648958.0;77098992.0;75420220.0;316.0;1181179.0;15.629722506072321
690;2022-01-14T17:00:00;ITA;18019;1679;19698;2379130;2398828;75310;186253;5817138;140548;;;8356514;153651521;43803735.0;;136.0;;;6580117.0;1776397.0;77413988.0;76237533.0;360.0;1132309.0;16.4489551880273
691;2022-01-15T17:00:00;ITA;18370;1677;20047;2450800;2470847;72019;180426;5937747;140856;;;8549450;154869351;44031304.0;;141.0;;;6657120.0;1892330.0;77738750.0;77130601.0;308.0;1217830.0;14.81536831905931
