log_setup.py | [INFO] | 2022-09-10 15:44:52,062 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 15:46:42,277 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 15:54:03,415 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 15:55:40,256 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 15:57:10,887 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:08:49,652 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:09:02,050 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:11:52,672 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:12:02,317 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:12:59,062 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:15:08,661 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:16:09,469 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:17:52,205 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:24:59,457 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:25:19,889 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:25:29,967 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:26:28,405 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:29:34,119 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:30:04,527 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:31:03,289 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:31:48,313 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:45:08,314 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:46:06,855 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:46:25,615 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:46:55,265 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:48:10,742 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:49:18,508 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:49:42,744 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:50:00,754 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:50:54,384 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 16:53:31,713 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:12:58,696 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:15:54,589 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:16:12,380 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:16:32,307 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:17:17,249 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:21:53,099 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:24:03,181 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:25:10,188 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:26:44,762 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:29:03,313 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:30:30,928 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:32:08,739 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:37:56,774 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:39:01,515 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:39:17,382 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:40:09,421 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:42:29,626 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:43:14,724 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:43:31,279 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:45:21,092 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:45:31,320 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:46:05,933 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:46:36,698 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:47:32,979 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:47:51,566 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:48:27,419 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:49:56,186 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:52:59,081 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:53:45,336 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:57:08,691 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:58:00,668 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 17:59:34,611 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 18:01:52,948 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 18:02:05,730 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 18:02:29,180 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 18:03:32,699 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 18:03:54,659 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 18:04:56,157 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 18:05:08,986 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 23:45:00,371 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 23:49:25,194 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 23:50:15,030 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 23:51:30,055 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 23:52:00,009 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 23:52:48,042 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 23:54:38,476 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 23:55:07,504 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 23:56:16,051 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-10 23:57:40,109 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
log_setup.py | [INFO] | 2022-09-11 00:00:09,411 | __main__ | : Log Setup Completed, called from lettore_camt054 in log_setup:54
