log_setup.py | [INFO] | 2022-09-11 00:06:59,684 | __main__ | : Log Setup Completed, called from lettore_camt054v2 in log_setup:54
log_setup.py | [INFO] | 2022-09-11 00:08:35,159 | __main__ | : Log Setup Completed, called from lettore_camt054v2 in log_setup:54
log_setup.py | [INFO] | 2022-09-11 00:09:21,150 | __main__ | : Log Setup Completed, called from lettore_camt054v2 in log_setup:54
log_setup.py | [INFO] | 2022-09-11 00:10:50,052 | __main__ | : Log Setup Completed, called from lettore_camt054v2 in log_setup:54
log_setup.py | [INFO] | 2022-09-11 00:13:23,598 | __main__ | : Log Setup Completed, called from lettore_camt054v2 in log_setup:54
log_setup.py | [INFO] | 2022-09-11 00:15:41,602 | __main__ | : Log Setup Completed, called from lettore_camt054v2 in log_setup:54
log_setup.py | [INFO] | 2022-09-11 00:16:59,555 | __main__ | : Log Setup Completed, called from lettore_camt054v2 in log_setup:54
log_setup.py | [INFO] | 2022-09-11 00:19:21,351 | __main__ | : Log Setup Completed, called from lettore_camt054v2 in log_setup:54
log_setup.py | [INFO] | 2022-09-11 00:32:33,437 | __main__ | : Log Setup Completed, called from lettore_camt054v2 in log_setup:54
log_setup.py | [INFO] | 2022-09-11 00:32:44,170 | __main__ | : Log Setup Completed, called from lettore_camt054v2 in log_setup:54
log_setup.py | [INFO] | 2022-09-13 11:07:33,112 | __main__ | : Log Setup Completed, called from lettore_camt054v2 in log_setup:54
log_setup.py | [INFO] | 2022-09-13 11:08:21,750 | __main__ | : Log Setup Completed, called from lettore_camt054v2 in log_setup:54
log_setup.py | [INFO] | 2022-09-13 11:13:26,101 | __main__ | : Log Setup Completed, called from lettore_camt054def in log_setup:54
log_setup.py | [INFO] | 2022-09-13 11:14:30,488 | __main__ | : Log Setup Completed, called from lettore_camt054def in log_setup:54
log_setup.py | [INFO] | 2022-09-13 11:15:26,222 | __main__ | : Log Setup Completed, called from lettore_camt054def in log_setup:54
log_setup.py | [INFO] | 2022-09-13 11:15:40,582 | __main__ | : Log Setup Completed, called from lettore_camt054def in log_setup:54
log_setup.py | [INFO] | 2022-09-13 11:19:17,599 | __main__ | : Log Setup Completed, called from lettore_camt054def in log_setup:54
log_setup.py | [INFO] | 2022-09-13 11:19:50,261 | __main__ | : Log Setup Completed, called from lettore_camt054def in log_setup:54
log_setup.py | [INFO] | 2022-11-07 11:12:18,342 | __main__ | : Log Setup Completed, called from lettore_camt054def in log_setup:54
